id_category;id_parent;id_shop_default;level_depth;nleft;nright;active;date_add;date_upd;position;is_root_category;id_shop;id_lang;name;description;link_rewrite;meta_title;meta_keywords;meta_description;
"18";"13";"1";"3";"4";"5";"1";"2015-09-19 12:06:25";"2015-09-28 10:13:31";"0";"0";"1";"1";"Dinafem";"Este excelente banco de semillas feminizadas llamado Dinafem ofrece desde 2005 unas variedades exquisitas muy selectas, como la destacada Moby Dick, procedente de sativas ecuatoriales, Royal Haze, Power Kush, Super Silver Haze o la famosa White Whidow.";"dinafem";"Dinafem Semillas De Marihuana";"Dinafem,semillas Dinafem,semillas Dinafem de calidad,semillas Dinafem baratas";"";
"19";"13";"1";"3";"6";"7";"1";"2015-09-19 12:08:04";"2015-10-24 12:57:07";"1";"0";"1";"1";"GeaSeeds";"El objetivo de GeaSeeds es poder vender semillas de la mejor calidad al mejor precio, pasando unos exhaustivos controles de calidad, para así garantizar el máximo porcentaje de la germinación y estabilidad genética.Las semillas son de cosechas recientes, así que es imposible adquirir unas semillas más frescas que estas en el mercado.";"geaseeds";"GeaSeeds Semillas De Marihuana";"semillas de marihuana,semillas marihuana de calidad,semillas GeaSeeds,semillas GeaSeeds baratas,semillas GeaSeeds de calidad,semillas baratas";"GeaSeeds Semillas Feminizadas De Marihuana";
"20";"13";"1";"3";"8";"9";"1";"2015-09-19 12:24:08";"2015-09-28 10:05:15";"2";"0";"1";"1";"Sensi Seeds";"Sensi Seeds, solo leyendo su nombre nos provoca sensaciones mágicas, Sensi Seeds es uno de los bancos de semillas de marihuana más reconocidos y importantes del mundo.";"sensi-seeds";"Sensi Seeds Semillas De Marihuana";"Sensi Seeds,semillas de calidad Sensi Seeds,semillas baratas Sensi Seeds,semillas baratas Sensi Seeds";"";
"21";"13";"1";"3";"10";"11";"1";"2015-09-19 12:31:13";"2015-09-28 10:06:54";"3";"0";"1";"1";"Sweet Seeds";"Este famoso y excelente banco de semillas conocido como Sweet Seeds está especializado en la selección, conversación y mejora genética de las nuevas gamas de semillas feminizadas de marihuana y también autoflorecientes de altísima calidad.
Las principales variedades de Sweet Seeds destacan en sus propiedades organolépticas.
Son aromáticas y dulces, además son fáciles para el cultivo exterior y cultivo interior de cannabis.
Nuestras semillas de Sweet Seeds pasan por un riguroso proceso de selección y únicamente las mejores semillas de marihuana pasan al envasado, además de conservarse en condiciones de baja temperatura y humedad para así poder garantizar al 95% su germinación.";"sweet-seeds";"Sweet Seeds Semillas De Marihuana";"Sweet Seeds,semillas Sweet Seeds,semillas de calidad Sweet Seeds,semillas baratas Sweet Seeds,semillas baratas Sweet Seeds";"";
"22";"13";"1";"3";"12";"13";"1";"2015-09-19 12:34:21";"2015-10-15 17:47:14";"4";"0";"1";"1";"Dutch Passion";"Este banco de semillas de marihuana llamado Dutch Passion produce, desarrolla, mejora y vende semillas de marihuana desde el año 1987.
Dutch Passion és una de las principales empresas holandesas especializadas en crianza y producción de semillas de cannabis.";"dutch-passion";"Dutch Passion Semillas De Marihuana";"Dutch Passion Semillas De Marihuana,Dutch Passion,semillas Dutch Passion,semillas baratas Dutch Passion,semillas de calidad Dutch Passion";"";
"25";"13";"1";"3";"14";"15";"1";"2015-09-19 12:41:32";"2015-10-15 17:56:05";"5";"0";"1";"1";"Cannabiogen";"Este banco de semillas denominado Cannabiogen trajo de sus largos viajes unas variedades de semillas de marihuana buscadas en lugares como Colombia, montañas de Jamaica, Pakistan, India, Tailandia… Para luego estabilizarlas y mejorar su calidad y producción. ";"cannabiogen";"Cannabiogen Semillas De Marihuana";"semillas Cannabiogen,Cannabiogen,semillas baratas Cannabiogen,semillas de calidad Cannabiogen";"";
"26";"13";"1";"3";"16";"17";"1";"2015-09-19 13:02:00";"2015-09-28 10:11:46";"6";"0";"1";"1";"Advanced Seeds ";"Todas las semillas de marihuana de Advanced Seeds han sido producidas y desarolladas mediante métodos orgánicos de cultivo. 
Advanced Seeds únicamente utiliza insecticidas y fertilizantes naturales en su producción.
 Advanced Seeds emplea un sistema totalmente seguro para obtener semillas feminizadas sin ningún tipo de ingeniería genética de máxima calidad, toda la producción de semillas de marihuana feminizadas se realiza bajo unos estrictos controles en cámaras aisladas que garantizan la identidad y pureza de cada cepa.";"advanced-seeds-";"Advanced Seeds Semillas De Marihuana";"Advanced Seeds,semillas Advanced Seeds,semillas baratas Advanced Seeds,semillas de calidad Advanced Seeds";"";
"27";"13";"1";"3";"18";"19";"1";"2015-09-19 13:05:33";"2015-09-28 10:09:55";"7";"0";"1";"1";"Buddha Seeds";"Este banco de semillas de marihuana conocido como Buddha Seeds se ha esforzado en todo momento en ofrecer variedades de marihuana automáticas de altísima calidad, consiguiendo excelentes resultados en cuanto a sabor y efecto, con una producción que va de buena a muy buena, a medida que van evolucionando en su trabajo de selección y estabilización.
Cada generación cuenta, y Buddha Seeds consigue destacar en cada salto evolutivo, estando siempre presente en boca de todos como un banco marihuana automática de alta calidad.";"buddha-seeds";"Buddha Seeds";"Buddha Seeds,semillas Buddha Seeds,semillas de calidad Buddha Seeds,semillas baratas Buddha Seeds";"";
"28";"13";"1";"3";"20";"21";"1";"2015-09-19 13:06:54";"2015-09-28 10:10:24";"8";"0";"1";"1";"Barney's Farm";"Este banco de semillas de cannabis es conocido como Barney's Farm ha estado seleccionando genéticas de todo el mundo desde los años 80, y esto le ha permitido a Barney's Farm crear cruces al alcance de muy pocos bancos y así poder ofrecer a sus clientes nuevos y suculentos cruces.";"barney-s-farm";"Barney's Farm Semillas De Marihuana";"Barney's Farm,semillas Barney's Farm,semillas de calidad Barney's Farm,semillas baratas Barney's Farm";"";
"29";"13";"1";"3";"22";"23";"1";"2015-09-19 13:10:10";"2015-09-28 10:04:02";"9";"0";"1";"1";"Positronics";"Este famoso banco nombrado Positronics colaboró activamente en el nacimiento y desarroyo de los primeros híbridos de Cannabis en los años setenta. 
Se consiguió, no sin problemas, exportar nuevas variedades a Holanda donde se instalaron para poder trabajar de una forma profesional. Fueron pioneros en desarrollar la técnica del cultivo sin semilla mediante esquejes, que supuso todo una revolución para finales de los años setenta.
Positronics se consolidó en Ámsterdam como la empresa pionera en la crianza selectiva del Cannabis. Desde entonces hasta hoy, el siglo XXI, la crianza no ha dejado de extenderse entre miles de cultivadores.
";"positronics";"Positronics Semillas De Marihuana";"Positronics,Positronics semillas,Positronics semillas de calidad,semillas baratas Positronics";"";
