id_category;id_parent;id_shop_default;level_depth;nleft;nright;active;date_add;date_upd;position;is_root_category;id_shop;id_lang;name;description;link_rewrite;meta_title;meta_keywords;meta_description;
"30";"15";"1";"3";"74";"75";"1";"2015-09-19 13:16:54";"2015-09-28 10:17:04";"0";"0";"1";"1";"Dinafem";"Este excelente banco de semillas feminizadas llamado Dinafem ofrece desde 2005 unas variedades exquisitas muy selectas, como la destacada Moby Dick, procedente de sativas ecuatoriales, Royal Haze, Power Kush, Super Silver Haze o la famosa White Whidow ";"dinafem";"Dinafem Semillas De Marihuan";"Dinafem,semillas Dinafem,semillas Dinafem de calidad,semillas Dinafem baratas";"";
"31";"15";"1";"3";"76";"77";"1";"2015-09-19 13:20:03";"2015-10-24 12:57:54";"1";"0";"1";"1";"Geaseeds";"El objetivo de GeaSeeds es poder vender semillas de la mejor calidad al mejor precio, pasando unos exhaustivos controles de calidad, para así garantizar el máximo porcentaje de la germinación y estabilidad genética.Las semillas son de cosechas recientes, así que es imposible adquirir unas semillas más frescas que estas en el mercado.";"geaseeds";"GeaSeeds Semillas De Marihuana";"semillas de marihuana,semillas marihuana baratas,semillas marihuana de calidad,semillas geaseeds,banco geaseeds,geaseeds";"GeaSeeds Semillas Feminizadas";
"32";"15";"1";"3";"78";"79";"1";"2015-09-19 13:20:42";"2015-09-28 10:19:29";"2";"0";"1";"1";"Sensi Seeds";"Sensi Seeds, solo leyendo su nombre nos provoca sensaciones mágicas, Sensi Seeds es uno de los bancos de semillas de marihuana más reconocidos y importantes del mundo.  
";"sensi-seeds";"Sensi Seeds Semillas De Marihuan";"Sensi Seeds,semillas Sensi Seeds,semillas Sensi Seeds de calidad,semillas Sensi Seeds baratas";"";
"33";"15";"1";"3";"80";"81";"1";"2015-09-19 13:21:54";"2015-09-28 10:20:23";"3";"0";"1";"1";"Sweet Seeds";"Este famoso y excelente banco de semillas conocido como Sweet Seeds está especializado en la selección, conversación y mejora genética de las nuevas gamas de semillas feminizadas de marihuana y también autoflorecientes de altísima calidad.Las principales variedades de Sweet Seeds destacan en sus propiedades organolépticas.Son aromáticas y dulces, además son fáciles para el cultivo exterior y cultivo interior de cannabis.
Nuestras semillas de Sweet Seeds pasan por un riguroso proceso de selección y únicamente las mejores semillas de marihuana pasan al envasado, además de conservarse en condiciones de baja temperatura y humedad para así poder
garantizar al 95% su germinación.";"sweet-seeds";"Sweet Seeds Semillas De Marihuan";"Sweet Seeds,semillas Sweet Seeds,semillas Sweet Seeds de calidad,semillas Sweet Seeds baratas";"";
"34";"15";"1";"3";"82";"83";"1";"2015-09-19 13:22:32";"2015-10-15 18:23:02";"4";"0";"1";"1";"Dutch Passion";"Este banco de semillas de marihuana llamado Dutch Passion produce, desarrolla, mejora y vende semillas de
marihuana desde el año 1987.
Dutch Passion és una de las principales empresas holandesas especializadas en crianza y producción de semillas de cannabis.";"dutch-passion";"Dutch Passion Semillas De Marihuana";"Dutch Passion,semillas Dutch Passion,semillas Dutch Passion baratas,semillas Dutch Passion de calidad";"";
"35";"15";"1";"3";"84";"85";"1";"2015-09-19 13:23:07";"2015-10-15 18:23:06";"5";"0";"1";"1";"Cannabiogen";"Este banco de semillas denominado Cannabiogen trajo de sus largos viajes unas variedades de semillas de marihuana buscadas en lugares como Colombia, montañas de Jamaica, Pakistan, India, Tailandia… Para luego estabilizarlas y mejorar su calidad y producción. ";"cannabiogen";"Cannabiogen Semillas De Marihuana";"Cannabiogen,semillas Cannabiogen,semillas Cannabiogen baratas,semillas Cannabiogen de calidad";"";
"36";"15";"1";"3";"86";"87";"1";"2015-09-19 13:24:03";"2015-09-28 10:22:28";"6";"0";"1";"1";"Advanced Seeds";"Todas las semillas de marihuana de Advanced Seeds han sido producidas y desarolladas mediante métodos orgánicos de cultivo. Advanced Seeds únicamente utiliza insecticidas y fertilizantes naturales en su producción. Advanced Seeds emplea un sistema totalmente seguro para obtener semillas feminizadas sin ningún tipo de ingeniería genética de máxima calidad, toda la producción de semillas de marihuana feminizadas se realiza bajo unos estrictos controles en cámaras aisladas que garantizan la identidad y pureza de cada cepa.";"advanced-seeds";"Advanced Seeds Semillas De Marihuana";"Advanced Seeds,semillas Advanced Seeds,semillas Advanced Seeds de calidad,semillas Advanced Seeds baratas";"";
"37";"15";"1";"3";"88";"89";"1";"2015-09-19 13:24:40";"2015-09-28 10:23:09";"7";"0";"1";"1";"Buddha Seeds";"Este banco de semillas de marihuana conocido como Buddha Seeds se ha esforzado en todo momento en ofrecer variedades de marihuana automáticas de altísima calidad, consiguiendo excelentes resultados en cuanto a sabor y efecto, con una producción que va de buena a muy buena, a medida que van evolucionando en su trabajo de selección y estabilización.
Cada generación cuenta, y Buddha Seeds consigue destacar en cada salto evolutivo, estando siempre presente en boca de todos como un banco marihuana automática de alta calidad.";"buddha-seeds";"Buddha Seeds Semillas De Marihuana";"Buddha Seeds,semillas Buddha Seeds,semillas Buddha Seeds baratas,semillas Buddha Seeds de calidad";"";
"38";"15";"1";"3";"90";"91";"1";"2015-09-19 13:25:21";"2015-09-28 10:16:02";"8";"0";"1";"1";"Barney's Farm";"Este banco de semillas de cannabis es conocido como Barney's Farm ha estado seleccionando genéticas de todo el mundo desde los años 80, y esto le ha permitido a Barney's Farm crear cruces al alcance de muy pocos bancos y así poder ofrecer a sus clientes nuevos y suculentos cruces.";"barney-s-farm";"Barney's Farm Semillas De Marihuana";"Barney's Farm,semillas Barney's Farm ,semillas Barney's Farm de calidad,semillas Barney's Farm baratas";"";
"39";"15";"1";"3";"92";"93";"1";"2015-09-19 13:25:57";"2015-09-28 10:18:22";"9";"0";"1";"1";"Positronics";"Este famoso banco nombrado Positronics colaboró activamente en el nacimiento y desarroyo de los primeros híbridos de Cannabis en los años setenta.
Se consiguió, no sin problemas, exportar nuevas variedades a Holanda donde se instalaron para poder trabajar de una forma profesional. Fueron pioneros en desarrollar la técnica de cultivo sin semilla mediante esquejes, que supuso todo una revolución para finales de los años setenta.
Positronics se consolidó en Ámsterdam como la empresa pionera en la crianza selectiva del Cannabis. Desde entonces hasta hoy, el siglo XXI, la crianza no ha dejado de extenderse entre miles de cultivadores.";"positronics";"Positronics Semillas De Marihuana";"Positronics,semillas Positronics,semillas Positronics baratas,semillas Positronics de calidad";"";
