"Product ID";"Active (0/1)";Name;"Categories (x,y,z...)";"Price tax excluded";"Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";"Supplier ID";"Manufacturer ID";EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;"Minimal quantity";Visibility;"Additional shipping cost";"Unit for the unit price";"Unit price";"Short description";Description;"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";"Image URLs (x,y,z...)";"Delete existing images (0 = No, 1 = Yes)";"Feature (Name:Value:Position:Customized)";"Available online only (0 = No, 1 = Yes)";Condition;"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Action when out of stock";"ID / Name of shop";"Advanced Stock Management";"Depends on stock";Warehouse;Accessories;Carriers;"Customization Fields";"Attacments Ids";"Date Update";"Base price"
1;1;"GRIGRI 2 belay device with assisted braking";3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20;379.012;379.012;1;0.000000;0;;;;;;;1;8;;;0.000000;0.000000;0.000000;0.000000;100.000000;600;1;both;0.00;;0;"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it.</p>";"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it. <br /><br />Just take a look at our assortment. We have foreseen all your needs. The most comfortable and safety clothing for your hobby is presented in our store. Knee guards, helmets, motocross goggles, socks and multitude accessories - all you may need is here. The products we offer are certified and meet all safety demands and requirements. Forget all your doubts and enjoy every minute you will find for extreme. Comfortable clothes will protect you from possible danger. Modern design and latest safety technologies are united to take care of each part of your body still providing easy movement. Decrease the number of possible accidents and enjoy the sport you have chosen, in its full. <br /><br />Extreme sport is more than just a hobby. It is way of living. It is your attitude towards reality and ability to enjoy adrenalin. Would you like to make an original present for those who share your interests? We can propose you a list of gift ideas. Men, women, kids - everybody who wants to discover a unique world of extreme sport will find the needed apparel and accessories in our Extreme Sports Clothing &amp; Gear Store. Our collection is constantly renewed with the latest models giving you a wide choice of modern looking and safety clothing. We have already proved our reliability proposing goods of premium quality only. Choose our Extreme Sports Clothing &amp; Gear Store and we will deserve your trust becoming your guide and assistant in the absorbing world of extreme sport.</p>";;;;;grigri-2-belay-device-with-assisted-braking;;;1;0000-00-00;"2015-11-20 14:00:22";1;http://192.168.9.34/prestashop/theme1138_new/img/p/1/1.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/2/2.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/3/3.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/4/4.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/5/5.jpg;0;1:42:1,2:42:2,4:42:3;1;new;2;1;1;2;1;0;;;2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20;;;;"2015-11-20 14:00:22";398.960000
2;1;"Mondo Crash Pad";2,3,4,5,6,7,8,9,10,11,12,13,14,15,21,22,23,24,25;377.51;377.51;1;0.000000;0;;;;;;;5;6;;;0.000000;0.000000;0.000000;0.000000;112.000000;100;1;both;0.00;;0;"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it.</p>";"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it. <br /><br />Just take a look at our assortment. We have foreseen all your needs. The most comfortable and safety clothing for your hobby is presented in our store. Knee guards, helmets, motocross goggles, socks and multitude accessories - all you may need is here. The products we offer are certified and meet all safety demands and requirements. Forget all your doubts and enjoy every minute you will find for extreme. Comfortable clothes will protect you from possible danger. Modern design and latest safety technologies are united to take care of each part of your body still providing easy movement. Decrease the number of possible accidents and enjoy the sport you have chosen, in its full. <br /><br />Extreme sport is more than just a hobby. It is way of living. It is your attitude towards reality and ability to enjoy adrenalin. Would you like to make an original present for those who share your interests? We can propose you a list of gift ideas. Men, women, kids - everybody who wants to discover a unique world of extreme sport will find the needed apparel and accessories in our Extreme Sports Clothing &amp; Gear Store. Our collection is constantly renewed with the latest models giving you a wide choice of modern looking and safety clothing. We have already proved our reliability proposing goods of premium quality only. Choose our Extreme Sports Clothing &amp; Gear Store and we will deserve your trust becoming your guide and assistant in the absorbing world of extreme sport.</p>";;;;;mondo-crash-pad;;;1;0000-00-00;"2015-11-20 14:00:22";1;http://192.168.9.34/prestashop/theme1138_new/img/p/6/6.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/7/7.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/8/8.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/9/9.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/1/0/10.jpg;0;1:42:1,2:42:2,4:42:3;1;new;0;0;0;2;1;0;;;;;;;"2015-11-20 14:00:22";377.510000
3;1;"Defy Lace Climbing Shoe - Men's";2,3,4,5,6,7,8,9,10,11,12,13,14,15,26,27,28,29,30;464.5444;464.5444;1;0.000000;0;;;;;;;5;6;;;0.000000;0.000000;0.000000;0.000000;112.000000;100;1;both;0.00;;0;"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it.</p>";"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it. <br /><br />Just take a look at our assortment. We have foreseen all your needs. The most comfortable and safety clothing for your hobby is presented in our store. Knee guards, helmets, motocross goggles, socks and multitude accessories - all you may need is here. The products we offer are certified and meet all safety demands and requirements. Forget all your doubts and enjoy every minute you will find for extreme. Comfortable clothes will protect you from possible danger. Modern design and latest safety technologies are united to take care of each part of your body still providing easy movement. Decrease the number of possible accidents and enjoy the sport you have chosen, in its full. <br /><br />Extreme sport is more than just a hobby. It is way of living. It is your attitude towards reality and ability to enjoy adrenalin. Would you like to make an original present for those who share your interests? We can propose you a list of gift ideas. Men, women, kids - everybody who wants to discover a unique world of extreme sport will find the needed apparel and accessories in our Extreme Sports Clothing &amp; Gear Store. Our collection is constantly renewed with the latest models giving you a wide choice of modern looking and safety clothing. We have already proved our reliability proposing goods of premium quality only. Choose our Extreme Sports Clothing &amp; Gear Store and we will deserve your trust becoming your guide and assistant in the absorbing world of extreme sport.</p>";;;;;defy-lace-climbing-shoe-men-s;;;1;0000-00-00;"2015-11-20 14:00:22";1;http://192.168.9.34/prestashop/theme1138_new/img/p/1/1/11.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/1/2/12.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/1/3/13.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/1/4/14.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/1/5/15.jpg;0;1:42:1,2:42:2,4:42:3;1;new;0;0;0;2;1;0;;;;;;;"2015-11-20 14:00:22";521.960000
4;1;"Lavaredo 35 Rucksack";2,16,17,18,19,20,21,22,23,24,25,31;127.96;127.96;1;0.000000;1;;;;;;;8;8;;;0.000000;0.000000;0.000000;0.000000;107.000000;0;1;both;0.00;;0;"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it.</p>";"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it. <br /><br />Just take a look at our assortment. We have foreseen all your needs. The most comfortable and safety clothing for your hobby is presented in our store. Knee guards, helmets, motocross goggles, socks and multitude accessories - all you may need is here. The products we offer are certified and meet all safety demands and requirements. Forget all your doubts and enjoy every minute you will find for extreme. Comfortable clothes will protect you from possible danger. Modern design and latest safety technologies are united to take care of each part of your body still providing easy movement. Decrease the number of possible accidents and enjoy the sport you have chosen, in its full. <br /><br />Extreme sport is more than just a hobby. It is way of living. It is your attitude towards reality and ability to enjoy adrenalin. Would you like to make an original present for those who share your interests? We can propose you a list of gift ideas. Men, women, kids - everybody who wants to discover a unique world of extreme sport will find the needed apparel and accessories in our Extreme Sports Clothing &amp; Gear Store. Our collection is constantly renewed with the latest models giving you a wide choice of modern looking and safety clothing. We have already proved our reliability proposing goods of premium quality only. Choose our Extreme Sports Clothing &amp; Gear Store and we will deserve your trust becoming your guide and assistant in the absorbing world of extreme sport.</p>";;;;;lavaredo-35-rucksack;;;1;0000-00-00;"2015-11-20 14:00:22";1;http://192.168.9.34/prestashop/theme1138_new/img/p/1/6/16.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/1/7/17.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/1/8/18.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/1/9/19.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/2/0/20.jpg;0;1:42:1,2:42:2,4:42:3;1;new;0;0;0;2;1;0;;;;;;;"2015-11-20 14:00:22";127.960000
5;1;"Lynx 13 Rucksack";2,26,27,28,29,30,31,39,40,41,42;125.5425;125.5425;1;0.000000;0;;;;;;;1;2;;;0.000000;0.000000;0.000000;0.000000;108.000000;100;1;both;0.00;;0;"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it.</p>";"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it. <br /><br />Just take a look at our assortment. We have foreseen all your needs. The most comfortable and safety clothing for your hobby is presented in our store. Knee guards, helmets, motocross goggles, socks and multitude accessories - all you may need is here. The products we offer are certified and meet all safety demands and requirements. Forget all your doubts and enjoy every minute you will find for extreme. Comfortable clothes will protect you from possible danger. Modern design and latest safety technologies are united to take care of each part of your body still providing easy movement. Decrease the number of possible accidents and enjoy the sport you have chosen, in its full. <br /><br />Extreme sport is more than just a hobby. It is way of living. It is your attitude towards reality and ability to enjoy adrenalin. Would you like to make an original present for those who share your interests? We can propose you a list of gift ideas. Men, women, kids - everybody who wants to discover a unique world of extreme sport will find the needed apparel and accessories in our Extreme Sports Clothing &amp; Gear Store. Our collection is constantly renewed with the latest models giving you a wide choice of modern looking and safety clothing. We have already proved our reliability proposing goods of premium quality only. Choose our Extreme Sports Clothing &amp; Gear Store and we will deserve your trust becoming your guide and assistant in the absorbing world of extreme sport.</p>";;;;;lynx-13-rucksack;;;1;0000-00-00;"2015-11-20 14:00:22";1;http://192.168.9.34/prestashop/theme1138_new/img/p/2/1/21.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/2/2/22.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/2/3/23.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/2/4/24.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/2/5/25.jpg;0;1:42:1,2:42:2,4:42:3;0;new;0;0;0;2;1;0;;;;;;;"2015-11-20 14:00:22";132.150000
6;1;"Compact Training Board Set";2,26,27,28,29,30,31,43,44,45,46;398.96;398.96;1;0.000000;0;;;;;;;4;5;;;0.000000;0.000000;0.000000;0.000000;111.000000;100;1;both;0.00;;0;"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it.</p>";"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it. <br /><br />Just take a look at our assortment. We have foreseen all your needs. The most comfortable and safety clothing for your hobby is presented in our store. Knee guards, helmets, motocross goggles, socks and multitude accessories - all you may need is here. The products we offer are certified and meet all safety demands and requirements. Forget all your doubts and enjoy every minute you will find for extreme. Comfortable clothes will protect you from possible danger. Modern design and latest safety technologies are united to take care of each part of your body still providing easy movement. Decrease the number of possible accidents and enjoy the sport you have chosen, in its full. <br /><br />Extreme sport is more than just a hobby. It is way of living. It is your attitude towards reality and ability to enjoy adrenalin. Would you like to make an original present for those who share your interests? We can propose you a list of gift ideas. Men, women, kids - everybody who wants to discover a unique world of extreme sport will find the needed apparel and accessories in our Extreme Sports Clothing &amp; Gear Store. Our collection is constantly renewed with the latest models giving you a wide choice of modern looking and safety clothing. We have already proved our reliability proposing goods of premium quality only. Choose our Extreme Sports Clothing &amp; Gear Store and we will deserve your trust becoming your guide and assistant in the absorbing world of extreme sport.</p>";;;;;compact-training-board-set;;;1;0000-00-00;"2015-11-20 14:00:22";1;http://192.168.9.34/prestashop/theme1138_new/img/p/2/6/26.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/2/7/27.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/2/8/28.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/2/9/29.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/3/0/30.jpg;0;1:42:1,2:42:2,4:42:3;0;new;0;0;0;2;1;0;;;;;;;"2015-11-20 14:00:22";398.960000
7;1;"Blank Slate Climbing Board";2,16,17,18,19,20,21,22,23,24,25,40,41,45,46;112.6048;112.6048;1;0.000000;0;;;;;;;8;8;;;0.000000;0.000000;0.000000;0.000000;107.000000;100;1;both;0.00;;0;"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it.</p>";"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it. <br /><br />Just take a look at our assortment. We have foreseen all your needs. The most comfortable and safety clothing for your hobby is presented in our store. Knee guards, helmets, motocross goggles, socks and multitude accessories - all you may need is here. The products we offer are certified and meet all safety demands and requirements. Forget all your doubts and enjoy every minute you will find for extreme. Comfortable clothes will protect you from possible danger. Modern design and latest safety technologies are united to take care of each part of your body still providing easy movement. Decrease the number of possible accidents and enjoy the sport you have chosen, in its full. <br /><br />Extreme sport is more than just a hobby. It is way of living. It is your attitude towards reality and ability to enjoy adrenalin. Would you like to make an original present for those who share your interests? We can propose you a list of gift ideas. Men, women, kids - everybody who wants to discover a unique world of extreme sport will find the needed apparel and accessories in our Extreme Sports Clothing &amp; Gear Store. Our collection is constantly renewed with the latest models giving you a wide choice of modern looking and safety clothing. We have already proved our reliability proposing goods of premium quality only. Choose our Extreme Sports Clothing &amp; Gear Store and we will deserve your trust becoming your guide and assistant in the absorbing world of extreme sport.</p>";;;;;blank-slate-climbing-board;;;1;0000-00-00;"2015-11-20 14:00:22";1;http://192.168.9.34/prestashop/theme1138_new/img/p/3/1/31.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/3/2/32.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/3/3/33.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/3/4/34.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/3/5/35.jpg;0;1:42:1,2:42:2,4:42:3;1;new;0;0;0;2;1;0;;;;;;;"2015-11-20 14:00:22";127.960000
8;1;"Mad Rock Men's Concept 2.0 Climbing Shoe";2,3,4,5,6,7,8,9,10,11,12,13,14,15,39,42,43,44;373.1952;373.1952;1;0.000000;1;;;;;;;2;3;;;0.000000;0.000000;0.000000;0.000000;109.000000;100;1;both;0.00;;0;"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it.</p>";"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it. <br /><br />Just take a look at our assortment. We have foreseen all your needs. The most comfortable and safety clothing for your hobby is presented in our store. Knee guards, helmets, motocross goggles, socks and multitude accessories - all you may need is here. The products we offer are certified and meet all safety demands and requirements. Forget all your doubts and enjoy every minute you will find for extreme. Comfortable clothes will protect you from possible danger. Modern design and latest safety technologies are united to take care of each part of your body still providing easy movement. Decrease the number of possible accidents and enjoy the sport you have chosen, in its full. <br /><br />Extreme sport is more than just a hobby. It is way of living. It is your attitude towards reality and ability to enjoy adrenalin. Would you like to make an original present for those who share your interests? We can propose you a list of gift ideas. Men, women, kids - everybody who wants to discover a unique world of extreme sport will find the needed apparel and accessories in our Extreme Sports Clothing &amp; Gear Store. Our collection is constantly renewed with the latest models giving you a wide choice of modern looking and safety clothing. We have already proved our reliability proposing goods of premium quality only. Choose our Extreme Sports Clothing &amp; Gear Store and we will deserve your trust becoming your guide and assistant in the absorbing world of extreme sport.</p>";;;;;mad-rock-men-s-concept-20-climbing-shoe;;;1;0000-00-00;"2015-11-20 14:00:22";1;http://192.168.9.34/prestashop/theme1138_new/img/p/3/6/36.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/3/7/37.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/3/8/38.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/3/9/39.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/4/0/40.jpg;0;1:42:1,2:42:2,4:42:3;0;new;0;0;0;2;1;0;;;;;;;"2015-11-20 14:00:22";428.960000
9;1;"Air Tech Helmet";2,16,17,18,19,20,21,22,23,24,25,40,41,45,46;398.96;398.96;1;0.000000;0;;;;;;;2;2;;;0.000000;0.000000;0.000000;0.000000;101.000000;100;1;both;0.00;;0;"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it.</p>";"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it. <br /><br />Just take a look at our assortment. We have foreseen all your needs. The most comfortable and safety clothing for your hobby is presented in our store. Knee guards, helmets, motocross goggles, socks and multitude accessories - all you may need is here. The products we offer are certified and meet all safety demands and requirements. Forget all your doubts and enjoy every minute you will find for extreme. Comfortable clothes will protect you from possible danger. Modern design and latest safety technologies are united to take care of each part of your body still providing easy movement. Decrease the number of possible accidents and enjoy the sport you have chosen, in its full. <br /><br />Extreme sport is more than just a hobby. It is way of living. It is your attitude towards reality and ability to enjoy adrenalin. Would you like to make an original present for those who share your interests? We can propose you a list of gift ideas. Men, women, kids - everybody who wants to discover a unique world of extreme sport will find the needed apparel and accessories in our Extreme Sports Clothing &amp; Gear Store. Our collection is constantly renewed with the latest models giving you a wide choice of modern looking and safety clothing. We have already proved our reliability proposing goods of premium quality only. Choose our Extreme Sports Clothing &amp; Gear Store and we will deserve your trust becoming your guide and assistant in the absorbing world of extreme sport.</p>";;;;;air-tech-helmet;;;1;0000-00-00;"2015-11-20 14:00:22";1;http://192.168.9.34/prestashop/theme1138_new/img/p/4/1/41.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/4/2/42.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/4/3/43.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/4/4/44.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/4/5/45.jpg;0;1:42:1,2:42:2,4:42:3;0;new;0;0;0;2;1;0;;;;;;;"2015-11-20 14:00:22";398.960000
10;1;"Black Diamond Momentum DS2012 all-purpose harness";2,26,27,28,29,30,31;130.96;130.96;1;0.000000;0;;;;;;;6;6;;;0.000000;0.000000;0.000000;0.000000;105.000000;99;1;both;0.00;;0;"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it.</p>";"<p>We are glad to welcome you at our Extreme Sports Clothing &amp; Gear Store. Are you looking for some thrilling and memorable emotions? Eager to discover some features of your character or just turn your boring routine into a bright world of new feelings? You have made the right choice. We know what extreme is and we will show you the best of it. <br /><br />Just take a look at our assortment. We have foreseen all your needs. The most comfortable and safety clothing for your hobby is presented in our store. Knee guards, helmets, motocross goggles, socks and multitude accessories - all you may need is here. The products we offer are certified and meet all safety demands and requirements. Forget all your doubts and enjoy every minute you will find for extreme. Comfortable clothes will protect you from possible danger. Modern design and latest safety technologies are united to take care of each part of your body still providing easy movement. Decrease the number of possible accidents and enjoy the sport you have chosen, in its full. <br /><br />Extreme sport is more than just a hobby. It is way of living. It is your attitude towards reality and ability to enjoy adrenalin. Would you like to make an original present for those who share your interests? We can propose you a list of gift ideas. Men, women, kids - everybody who wants to discover a unique world of extreme sport will find the needed apparel and accessories in our Extreme Sports Clothing &amp; Gear Store. Our collection is constantly renewed with the latest models giving you a wide choice of modern looking and safety clothing. We have already proved our reliability proposing goods of premium quality only. Choose our Extreme Sports Clothing &amp; Gear Store and we will deserve your trust becoming your guide and assistant in the absorbing world of extreme sport.</p>";;;;;black-diamond-momentum-ds2012-all-purpose-harness;;;1;0000-00-00;"2015-11-20 14:00:22";1;http://192.168.9.34/prestashop/theme1138_new/img/p/4/6/46.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/4/7/47.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/4/8/48.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/4/9/49.jpg,http://192.168.9.34/prestashop/theme1138_new/img/p/5/0/50.jpg;0;1:42:1,2:42:2,4:42:3;0;new;0;0;0;2;1;0;;;;;;;"2015-11-20 14:00:22";130.960000
