"Tax Rule Group ID";Name;Active;Deleted;"Date Add";"Date Upd"
2;"US-AK Rate (0%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
1;"US-AL Rate (4%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
4;"US-AR Rate (6%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
3;"US-AZ Rate (6.6%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
5;"US-CA Rate (8.25%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
6;"US-CO Rate (2.9%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
7;"US-CT Rate (0%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
52;"US-DC Rate (6%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
8;"US-DE Rate (0%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
9;"US-FL Rate (6%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
10;"US-GA Rate (4%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
11;"US-HI Rate (4%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
15;"US-IA Rate (6%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
12;"US-ID Rate (6%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
13;"US-IL Rate (6.25%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
14;"US-IN Rate (7%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
16;"US-KS Rate (5.3%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
17;"US-KY Rate (6%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
18;"US-LA Rate (4%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
21;"US-MA Rate (6.25%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
20;"US-MD Rate (6%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
19;"US-ME Rate (5%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
22;"US-MI Rate (6%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
23;"US-MN Rate (6.875%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
25;"US-MO Rate (4.225%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
24;"US-MS Rate (7%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
26;"US-MT Rate (0%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
33;"US-NC Rate (5.5%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
34;"US-ND Rate (5%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
27;"US-NE Rate (5.5%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
29;"US-NH Rate (0%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
30;"US-NJ Rate (7%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
31;"US-NM Rate (5.125%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
28;"US-NV Rate (6.85%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
32;"US-NY Rate (4%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
35;"US-OH Rate (5.5%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
36;"US-OK Rate (4.5%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
37;"US-OR Rate (0%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
38;"US-PA Rate (6%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
51;"US-PR Rate (5.5%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
39;"US-RI Rate (7%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
40;"US-SC Rate (6%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
41;"US-SD Rate (4%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
42;"US-TN Rate (7%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
43;"US-TX Rate (6.25%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
44;"US-UT Rate (4.75%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
46;"US-VA Rate (4%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
45;"US-VT Rate (6%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
47;"US-WA Rate (6.5%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
49;"US-WI Rate (5%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
48;"US-WV Rate (6%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
50;"US-WY Rate (4%)";1;0;"2015-11-20 14:00:19";"2015-11-20 14:00:19"
