web-scraper-order,web-scraper-start-url,link,link-href,stock
"1550650632-770","https://vaperalia.es/aromas-vampire-vape-267?n=555","Aroma Pear Drops - Vampire Vape","https://vaperalia.es/aromas-vampire-vape/aroma-pear-drops-vampire-vape-1356.html","En stock"
"1550650632-779","https://vaperalia.es/aromas-vampire-vape-267?n=555","Aroma Attraction - Vampire Vape","https://vaperalia.es/aromas-vampire-vape/aroma-attraction-vampire-vape-1247.html","En stock"
"1550650660-964","https://vaperalia.es/nasty-juice-481?n=555","Stargazing - Nasty Juice","https://vaperalia.es/nasty-juice/stargazing-nasty-juice-5562.html","Agotado"
"1550650643-881","https://vaperalia.es/pro-vape-672?n=555","Jimmy Vapendrix - Icons","https://vaperalia.es/icons-line/jimmy-vapendrix-icons-4531.html","En stock"
"1550650639-824","https://vaperalia.es/bombo-100?n=555","Trubio 50ml - Bombo","https://vaperalia.es/bombo/trubio-50ml-bombo-4058.html","En stock"
"1550650656-956","https://vaperalia.es/empire-brew-687?n=555","Mango Apricot - Empire Brew","https://vaperalia.es/empire-brew/mango-apricot-empire-brew-4389.html","En stock"
"1550650627-691","https://vaperalia.es/aromas-kings-crest-607?n=555","Aroma Don Juan Reserve - Kings Crest","https://vaperalia.es/aromas-kings-crest/aroma-don-juan-reserve-kings-crest-3873.html","En stock"
"1550650652-934","https://vaperalia.es/horny-flava_166?n=555","Pomberry 55ml - Horny Flava","https://vaperalia.es/horny-flava/ponberry-55ml-horny-flava-5103.html","Agotado"
"1550650654-951","https://vaperalia.es/fantastic_148?n=555","Lemon Lime - Fantastic","https://vaperalia.es/fantastic/lemon-lime-fantastic-3329.html","En stock"
"1550650625-685","https://vaperalia.es/kits-joyetech-32?n=555","Kit de inicio AIO D22 1500 mAh - Joyetech","https://vaperalia.es/kits-joyetech/kit-de-inicio-aio-d22-1500-mah-joyetech-1601.html","En stock"
"1550650649-917","https://vaperalia.es/mistiq-489?n=555","Vanilla Custard - Mistiq Flava","https://vaperalia.es/mistiq/vanilla-custard-mistiq-flava-3567.html","Agotado"
"1550650639-821","https://vaperalia.es/bombo-100?n=555","Branila 50ml - Bombo","https://vaperalia.es/bombo/branilla-50ml-bombo-4060.html","En stock"
"1550650632-728","https://vaperalia.es/aromas-vampire-vape-267?n=555","Aroma Jam on Toast - Vampire Vape","https://vaperalia.es/aromas-vampire-vape/aroma-jam-on-toast-vampire-vape-3098.html","Agotado"
